Item,Value
Air Conditioner,93.0
Dryer,93.0
Electric Stove,156.0
Freezer,100.0
Gas Stove,130.0
Heater,23.0
Microwave,50.0
Refrigerator (Working),259.0
TV (Color Working),233.0
Washing Machine,156.0
Blouse,8.0
Boots,21.0
Coat,21.0
Dress,12.0
Jacket,26.0
Jeans,12.0
Pants,12.0
Shirt,6.0
Shoes,9.0
Skirt,6.0
Slacks,8.0
Snowsuit,20.0
Socks,2.0
Sweater,8.0
Underwear,4.0
"Bed (full, queen, king)",176.0
Bed (single),104.0
Bedroom Set (complete),1037.0
Chair (upholstered),104.0
Chest,99.0
China Cabinet,311.0
Clothes Closet,52.0
Coffee Table,67.0
Crib (w/mattress),104.0
Desk,145.0
Dining Room Set (complete),934.0
Dresser w/Mirror,104.0
End Table,52.0
Folding Bed,62.0
Hi Riser,78.0
High Chair,52.0
Kitchen Cabinet,78.0
Kitchen Chair,10.0
Kitchen Set,176.0
Mattress (double),78.0
Mattress (single),36.0
Playpen,31.0
Rugs,93.0
Secretary,145.0
Sleeper Sofa (with mattress),311.0
Sofa,207.0
Trunk,73.0
Wardrobe,104.0
Bakeware,3.0
Bedspread/Quilt,25.0
Blanket,16.0
Chair/Sofa Cover,36.0
Coffeemaker,16.0
Curtains,12.0
Drapes,41.0
Fireplace Set,83.0
Floor Lamp,52.0
Glass/Cup,2.0
Griddle,12.0
Kitchen Utensils,2.0
Lamp,78.0
Mixer/Blender,21.0
Picture/Painting,207.0
Pillow,8.0
Plate,3.0
Pot/Pan,3.0
Sheets,8.0
Throw Rug,12.0
Towel,4.0
Jacket,26.0
Overcoat,62.0
Pajamas,8.0
Raincoat,21.0
Shirt,12.0
Shoes,26.0
Shorts,10.0
Slacks,12.0
Suit,62.0
Sweater,12.0
Swim Trunks,8.0
Tuxedo,62.0
Undershirt,3.0
Undershorts,3.0
Answering Machine,31.0
Bicycle,83.0
Board Game,3.0
Book (hardback),3.0
Book (paperback),2.0
Carriage,100.0
CD,5.0
Cell Phone,100.0
Computer Monitor,51.0
Computer Printer,155.0
Computer System,415.0
Copier,207.0
DVD,5.0
DVD Player/VCR,16.0
Edger,26.0
eReader,50.0
Golf Club (individual),26.0
Ice Skates,16.0
Luggage,16.0
Mower,104.0
Mower (riding),311.0
Radio,52.0
Roller Blades,16.0
Sewing Machine,88.0
Stereo,78.0
Stuffed Animal,1.0
Tablet,150.0
Tennis Racket,5.0
Typewriter,26.0
Umbrella,6.0
Vacuum Cleaner,67.0
Bathing Suit,12.0
Bathrobe,12.0
Blouse,12.0
Boots,5.0
Bra,3.0
Coat,41.0
Dress,20.0
Evening Dress,62.0
Foundation Garment,8.0
Fur Coat,415.0
Fur Hat,16.0
Handbag,21.0
Hat,8.0
Jacket,12.0
Nightgown,12.0
Pants Suit,26.0
Shoes,26.0
Skirt,8.0
Slacks,12.0
Slip,6.0
Socks,1.0
Suit,26.0
Sweater,16.0
